date,country,event,importance,currency,unit,consensus,previous,actual,change,change_percent
2020-01-10 13:30:00,US,Non Farm Payrolls (Dec),High,USD,K,164.0,256.0,145.0,-111.0,-43.359
2020-01-14 13:30:00,US,Inflation Rate YoY (Dec),High,USD,%,2.3,2.1,2.3,0.2,9.524
2020-01-28 13:30:00,US,Durable Goods Orders MoM (Dec),High,USD,%,0.4,-3.1,2.4,5.5,177.419
2020-01-31 13:30:00,US,Core PCE Price Index YoY (Dec),High,USD,%,1.6,1.5,1.6,0.1,6.667
2020-02-07 13:30:00,US,Non Farm Payrolls (Jan),High,USD,K,160.0,147.0,225.0,78.0,53.061
2020-02-07 13:30:00,US,Unemployment Rate (Jan),High,USD,%,3.5,3.5,3.6,0.1,2.857
2020-02-13 13:30:00,US,Inflation Rate YoY (Jan),High,USD,%,2.4,2.3,2.5,0.2,8.696
2020-02-14 13:30:00,US,Retail Sales MoM (Jan),High,USD,%,0.3,0.2,0.3,0.1,50.0
2020-02-27 13:30:00,US,Durable Goods Orders MoM (Jan),High,USD,%,-1.5,2.9,-0.2,-3.1,-106.897
2020-02-28 13:30:00,US,Core PCE Price Index YoY (Jan),High,USD,%,1.7,1.5,1.6,0.1,6.667
2020-03-06 13:30:00,US,Unemployment Rate (Feb),High,USD,%,3.6,3.6,3.5,-0.1,-2.778
2020-03-11 12:30:00,US,Inflation Rate YoY (Feb),High,USD,%,2.2,2.5,2.3,-0.2,-8.0
2020-03-11 12:30:00,US,Core Inflation Rate YoY (Feb),High,USD,%,2.3,2.3,2.4,0.1,4.348
2020-03-17 12:30:00,US,Retail Sales MoM (Feb),High,USD,%,0.2,0.6,-0.5,-1.1,-183.333
2020-03-25 12:30:00,US,Durable Goods Orders MoM (Feb),High,USD,%,-0.8,0.1,1.2,1.1,1100.0
2020-03-27 12:30:00,US,Core PCE Price Index YoY (Feb),High,USD,%,1.7,1.7,1.8,0.1,5.882
2020-04-03 12:30:00,US,Unemployment Rate (Mar),High,USD,%,3.8,3.5,4.4,0.9,25.714
2020-04-03 12:30:00,US,Non Farm Payrolls (Mar),High,USD,K,-100.0,275.0,-701.0,-976.0,-354.909
2020-04-10 12:30:00,US,Core Inflation Rate YoY (Mar),High,USD,%,2.3,2.4,2.1,-0.3,-12.5
2020-04-10 12:30:00,US,Inflation Rate YoY (Mar),High,USD,%,1.6,2.3,1.5,-0.8,-34.783
2020-04-15 12:30:00,US,Retail Sales MoM (Mar),High,USD,%,-8.0,-0.4,-8.7,-8.3,-2075.0
2020-04-24 12:30:00,US,Durable Goods Orders MoM (Mar),High,USD,%,-11.9,1.1,-14.4,-15.5,-1409.091
2020-04-29 12:30:00,US,GDP Growth Rate QoQ Adv (Q1),High,USD,%,-4.0,2.1,-4.8,-6.9,-328.571
2020-04-30 12:30:00,US,Core PCE Price Index YoY (Mar),High,USD,%,1.6,1.8,1.7,-0.1,-5.556
